date,team,request_type,team_request_type,volume
2020-01-01 00:00:00,Team A,Request 1,Team A - Request 1,766
2020-01-01 00:00:00,Team D,Request 13,Team D - Request 13,955
2020-01-01 00:00:00,Team D,Request 12,Team D - Request 12,430
2020-01-01 00:00:00,Team D,Request 11,Team D - Request 11,542
2020-01-01 00:00:00,Team D,Request 10,Team D - Request 10,136
2020-01-01 00:00:00,Team D,Request 9,Team D - Request 9,472
2020-01-01 00:00:00,Team D,Request 8,Team D - Request 8,39
2020-01-01 00:00:00,Team D,Request 7,Team D - Request 7,877
2020-01-01 00:00:00,Team D,Request 6,Team D - Request 6,865
2020-01-01 00:00:00,Team D,Request 5,Team D - Request 5,316
2020-01-01 00:00:00,Team D,Request 4,Team D - Request 4,722
2020-01-01 00:00:00,Team D,Request 3,Team D - Request 3,84
2020-01-01 00:00:00,Team D,Request 2,Team D - Request 2,681
2020-01-01 00:00:00,Team D,Request 1,Team D - Request 1,216
2020-01-01 00:00:00,Team C,Request 20,Team C - Request 20,732
2020-01-01 00:00:00,Team C,Request 19,Team C - Request 19,102
2020-01-01 00:00:00,Team C,Request 18,Team C - Request 18,678
2020-01-01 00:00:00,Team C,Request 17,Team C - Request 17,420
2020-01-01 00:00:00,Team C,Request 16,Team C - Request 16,720
2020-01-01 00:00:00,Team C,Request 15,Team C - Request 15,603
2020-01-01 00:00:00,Team C,Request 14,Team C - Request 14,60
2020-01-01 00:00:00,Team C,Request 13,Team C - Request 13,849
2020-01-01 00:00:00,Team D,Request 14,Team D - Request 14,245
2020-01-01 00:00:00,Team D,Request 16,Team D - Request 16,927
2020-01-01 00:00:00,Team D,Request 17,Team D - Request 17,289
2020-01-01 00:00:00,Team D,Request 18,Team D - Request 18,599
2020-01-01 00:00:00,Team E,Request 20,Team E - Request 20,903
2020-01-01 00:00:00,Team E,Request 19,Team E - Request 19,862
2020-01-01 00:00:00,Team E,Request 18,Team E - Request 18,874
2020-01-01 00:00:00,Team E,Request 17,Team E - Request 17,63
2020-01-01 00:00:00,Team E,Request 16,Team E - Request 16,331
2020-01-01 00:00:00,Team E,Request 15,Team E - Request 15,990
2020-01-01 00:00:00,Team E,Request 14,Team E - Request 14,551
2020-01-01 00:00:00,Team E,Request 13,Team E - Request 13,563
2020-01-01 00:00:00,Team E,Request 12,Team E - Request 12,753
2020-01-01 00:00:00,Team E,Request 11,Team E - Request 11,712
2020-01-01 00:00:00,Team C,Request 12,Team C - Request 12,264
2020-01-01 00:00:00,Team E,Request 10,Team E - Request 10,785
2020-01-01 00:00:00,Team E,Request 8,Team E - Request 8,511
2020-01-01 00:00:00,Team E,Request 7,Team E - Request 7,362
2020-01-01 00:00:00,Team E,Request 6,Team E - Request 6,994
2020-01-01 00:00:00,Team E,Request 5,Team E - Request 5,651
2020-01-01 00:00:00,Team E,Request 4,Team E - Request 4,682
2020-01-01 00:00:00,Team E,Request 3,Team E - Request 3,707
2020-01-01 00:00:00,Team E,Request 2,Team E - Request 2,124
2020-01-01 00:00:00,Team E,Request 1,Team E - Request 1,947
2020-01-01 00:00:00,Team D,Request 20,Team D - Request 20,507
2020-01-01 00:00:00,Team D,Request 19,Team D - Request 19,763
2020-01-01 00:00:00,Team E,Request 9,Team E - Request 9,805
2020-01-01 00:00:00,Team C,Request 11,Team C - Request 11,517
2020-01-01 00:00:00,Team D,Request 15,Team D - Request 15,851
2020-01-01 00:00:00,Team C,Request 9,Team C - Request 9,722
2020-01-01 00:00:00,Team B,Request 3,Team B - Request 3,356
2020-01-01 00:00:00,Team B,Request 2,Team B - Request 2,316
2020-01-01 00:00:00,Team B,Request 1,Team B - Request 1,42
2020-01-01 00:00:00,Team A,Request 20,Team A - Request 20,185
2020-01-01 00:00:00,Team A,Request 19,Team A - Request 19,175
2020-01-01 00:00:00,Team A,Request 18,Team A - Request 18,446
2020-01-01 00:00:00,Team A,Request 17,Team A - Request 17,915
2020-01-01 00:00:00,Team A,Request 16,Team A - Request 16,415
2020-01-01 00:00:00,Team A,Request 15,Team A - Request 15,136
2020-01-01 00:00:00,Team A,Request 13,Team A - Request 13,848
2020-01-01 00:00:00,Team B,Request 4,Team B - Request 4,225
2020-01-01 00:00:00,Team A,Request 12,Team A - Request 12,966
2020-01-01 00:00:00,Team A,Request 10,Team A - Request 10,692
2020-01-01 00:00:00,Team A,Request 9,Team A - Request 9,367
2020-01-01 00:00:00,Team A,Request 8,Team A - Request 8,172
2020-01-01 00:00:00,Team A,Request 7,Team A - Request 7,330
2020-01-01 00:00:00,Team A,Request 6,Team A - Request 6,610
2020-01-01 00:00:00,Team A,Request 5,Team A - Request 5,393
2020-01-01 00:00:00,Team A,Request 4,Team A - Request 4,572
2020-01-01 00:00:00,Team A,Request 3,Team A - Request 3,933
2020-01-01 00:00:00,Team A,Request 2,Team A - Request 2,569
2020-01-01 00:00:00,Team C,Request 10,Team C - Request 10,629
2020-01-01 00:00:00,Team A,Request 11,Team A - Request 11,933
2020-01-01 00:00:00,Team B,Request 5,Team B - Request 5,260
2020-01-01 00:00:00,Team A,Request 14,Team A - Request 14,783
2020-01-01 00:00:00,Team C,Request 8,Team C - Request 8,304
2020-01-01 00:00:00,Team B,Request 6,Team B - Request 6,562
2020-01-01 00:00:00,Team C,Request 7,Team C - Request 7,905
2020-01-01 00:00:00,Team C,Request 6,Team C - Request 6,192
2020-01-01 00:00:00,Team C,Request 5,Team C - Request 5,58
2020-01-01 00:00:00,Team C,Request 4,Team C - Request 4,310
2020-01-01 00:00:00,Team C,Request 3,Team C - Request 3,418
2020-01-01 00:00:00,Team C,Request 2,Team C - Request 2,178
2020-01-01 00:00:00,Team B,Request 20,Team B - Request 20,687
2020-01-01 00:00:00,Team B,Request 19,Team B - Request 19,597
2020-01-01 00:00:00,Team B,Request 18,Team B - Request 18,506
2020-01-01 00:00:00,Team B,Request 17,Team B - Request 17,245
2020-01-01 00:00:00,Team C,Request 1,Team C - Request 1,248
2020-01-01 00:00:00,Team B,Request 7,Team B - Request 7,369
2020-01-01 00:00:00,Team B,Request 15,Team B - Request 15,330
2020-01-01 00:00:00,Team B,Request 14,Team B - Request 14,545
2020-01-01 00:00:00,Team B,Request 13,Team B - Request 13,101
2020-01-01 00:00:00,Team B,Request 12,Team B - Request 12,116
2020-01-01 00:00:00,Team B,Request 11,Team B - Request 11,409
2020-01-01 00:00:00,Team B,Request 10,Team B - Request 10,836
2020-01-01 00:00:00,Team B,Request 9,Team B - Request 9,395
2020-01-01 00:00:00,Team B,Request 8,Team B - Request 8,498
2020-01-01 00:00:00,Team B,Request 16,Team B - Request 16,971
2020-02-01 00:00:00,Team D,Request 6,Team D - Request 6,786
2020-02-01 00:00:00,Team D,Request 7,Team D - Request 7,842
2020-02-01 00:00:00,Team D,Request 8,Team D - Request 8,583
2020-02-01 00:00:00,Team D,Request 9,Team D - Request 9,22
2020-02-01 00:00:00,Team D,Request 14,Team D - Request 14,628
2020-02-01 00:00:00,Team D,Request 11,Team D - Request 11,545
2020-02-01 00:00:00,Team D,Request 12,Team D - Request 12,776
2020-02-01 00:00:00,Team D,Request 13,Team D - Request 13,230
2020-02-01 00:00:00,Team D,Request 5,Team D - Request 5,307
2020-02-01 00:00:00,Team D,Request 10,Team D - Request 10,176
2020-02-01 00:00:00,Team D,Request 4,Team D - Request 4,250
2020-02-01 00:00:00,Team C,Request 13,Team C - Request 13,949
2020-02-01 00:00:00,Team D,Request 2,Team D - Request 2,134
2020-02-01 00:00:00,Team D,Request 1,Team D - Request 1,75
2020-02-01 00:00:00,Team C,Request 20,Team C - Request 20,953
2020-02-01 00:00:00,Team C,Request 19,Team C - Request 19,486
2020-02-01 00:00:00,Team C,Request 18,Team C - Request 18,317
2020-02-01 00:00:00,Team C,Request 17,Team C - Request 17,81
2020-02-01 00:00:00,Team C,Request 16,Team C - Request 16,324
2020-02-01 00:00:00,Team C,Request 15,Team C - Request 15,851
2020-02-01 00:00:00,Team C,Request 14,Team C - Request 14,519
2020-02-01 00:00:00,Team D,Request 15,Team D - Request 15,320
2020-02-01 00:00:00,Team D,Request 3,Team D - Request 3,266
2020-02-01 00:00:00,Team D,Request 16,Team D - Request 16,233
2020-02-01 00:00:00,Team E,Request 20,Team E - Request 20,973
2020-02-01 00:00:00,Team D,Request 18,Team D - Request 18,417
2020-02-01 00:00:00,Team C,Request 12,Team C - Request 12,820
2020-02-01 00:00:00,Team E,Request 19,Team E - Request 19,431
2020-02-01 00:00:00,Team E,Request 18,Team E - Request 18,866
